Original_Correlation,Model_Correlation,Correlation_Coefficient
-0.19000000000000006,-0.13096000000000002,0.28816409615969973
-0.16000000000000003,-0.1375000000000001,0.28816409615969973
-0.21000000000000008,-0.13900000000000007,0.28816409615969973
-0.15200000000000005,-0.12588000000000005,0.28816409615969973
-0.17400000000000004,-0.13112000000000007,0.28816409615969973
-0.19000000000000006,-0.12572000000000008,0.28816409615969973
-0.14600000000000005,-0.1369600000000001,0.28816409615969973
-0.14000000000000007,-0.11760000000000004,0.28816409615969973
-0.20600000000000007,-0.1385600000000001,0.28816409615969973
-0.17600000000000005,-0.14604000000000006,0.28816409615969973
-0.16400000000000003,-0.14374000000000006,0.28816409615969973
-0.1660000000000001,-0.11634000000000003,0.28816409615969973
-0.18400000000000008,-0.13080000000000008,0.28816409615969973
-0.11800000000000002,-0.12160000000000004,0.28816409615969973
-0.14,-0.12436000000000008,0.28816409615969973
-0.12000000000000005,-0.11196000000000006,0.28816409615969973
-0.13200000000000006,-0.13424000000000008,0.28816409615969973
-0.11800000000000004,-0.11208000000000008,0.28816409615969973
-0.16800000000000004,-0.13264000000000006,0.28816409615969973
-0.14200000000000004,-0.12768000000000007,0.28816409615969973
-0.15800000000000006,-0.14122000000000007,0.28816409615969973
-0.18200000000000005,-0.1311800000000001,0.28816409615969973
-0.13200000000000006,-0.11834000000000001,0.28816409615969973
-0.16600000000000006,-0.12802000000000005,0.28816409615969973
-0.11800000000000005,-0.12162000000000008,0.28816409615969973
-0.14200000000000004,-0.12878000000000006,0.28816409615969973
-0.136,-0.11618000000000005,0.28816409615969973
-0.13400000000000006,-0.13002000000000005,0.28816409615969973
-0.15600000000000003,-0.13458000000000006,0.28816409615969973
-0.14400000000000004,-0.13356000000000007,0.28816409615969973
-0.15400000000000008,-0.13256000000000007,0.28816409615969973
-0.13200000000000003,-0.12800000000000009,0.28816409615969973
-0.15600000000000006,-0.13420000000000004,0.28816409615969973
-0.12800000000000003,-0.13596000000000005,0.28816409615969973
-0.15000000000000005,-0.11504000000000007,0.28816409615969973
-0.14800000000000008,-0.1429600000000001,0.28816409615969973
-0.15400000000000005,-0.13760000000000008,0.28816409615969973
-0.17800000000000005,-0.1406200000000001,0.28816409615969973
-0.10600000000000002,-0.12324000000000009,0.28816409615969973
-0.15400000000000005,-0.12452000000000005,0.28816409615969973
-0.12600000000000003,-0.1310000000000001,0.28816409615969973
-0.08400000000000002,-0.11788000000000005,0.28816409615969973
-0.15400000000000003,-0.13600000000000007,0.28816409615969973
-0.10000000000000003,-0.11624000000000005,0.28816409615969973
-0.14000000000000007,-0.14402000000000006,0.28816409615969973
-0.13200000000000003,-0.12248000000000003,0.28816409615969973
-0.10000000000000003,-0.14112000000000008,0.28816409615969973
-0.12200000000000003,-0.11892000000000008,0.28816409615969973
-0.17600000000000005,-0.13488000000000008,0.28816409615969973
-0.11800000000000002,-0.13496000000000008,0.28816409615969973
-0.15800000000000006,-0.13822000000000004,0.28816409615969973
-0.11200000000000003,-0.13356000000000007,0.28816409615969973
-0.11000000000000004,-0.12036000000000008,0.28816409615969973
-0.16800000000000007,-0.1398800000000001,0.28816409615969973
-0.15000000000000005,-0.13488000000000006,0.28816409615969973
-0.17000000000000007,-0.13450000000000012,0.28816409615969973
-0.13800000000000007,-0.12148000000000003,0.28816409615969973
-0.14000000000000004,-0.14328000000000007,0.28816409615969973
-0.15000000000000005,-0.1371600000000001,0.28816409615969973
-0.14600000000000007,-0.15042000000000005,0.28816409615969973
-0.15800000000000003,-0.12720000000000006,0.28816409615969973
-0.12000000000000005,-0.13400000000000006,0.28816409615969973
-0.1640000000000001,-0.13098000000000004,0.28816409615969973
-0.14600000000000002,-0.14548000000000008,0.28816409615969973
-0.13800000000000004,-0.15458000000000008,0.28816409615969973
-0.15200000000000002,-0.14750000000000008,0.28816409615969973
-0.15200000000000002,-0.11930000000000004,0.28816409615969973
-0.14200000000000004,-0.12420000000000007,0.28816409615969973
-0.16400000000000006,-0.11704000000000005,0.28816409615969973
-0.15000000000000002,-0.12760000000000007,0.28816409615969973
-0.17800000000000005,-0.10760000000000006,0.28816409615969973
-0.08600000000000002,-0.12700000000000006,0.28816409615969973
-0.1,-0.10560000000000007,0.28816409615969973
-0.17800000000000007,-0.12696000000000007,0.28816409615969973
-0.18800000000000006,-0.13280000000000008,0.28816409615969973
-0.16400000000000006,-0.13190000000000007,0.28816409615969973
-0.16800000000000007,-0.13118000000000005,0.28816409615969973
-0.11800000000000004,-0.12150000000000008,0.28816409615969973
-0.15600000000000006,-0.12802000000000008,0.28816409615969973
-0.10800000000000004,-0.12050000000000007,0.28816409615969973
-0.15600000000000006,-0.1331000000000001,0.28816409615969973
-0.12200000000000005,-0.11758000000000003,0.28816409615969973
-0.17200000000000007,-0.13278000000000006,0.28816409615969973
-0.13400000000000006,-0.1395800000000001,0.28816409615969973
-0.13000000000000003,-0.13260000000000008,0.28816409615969973
-0.136,-0.12320000000000005,0.28816409615969973
-0.17400000000000007,-0.1239600000000001,0.28816409615969973
-0.15000000000000005,-0.12024000000000004,0.28816409615969973
-0.10600000000000004,-0.12048000000000006,0.28816409615969973
-0.15600000000000003,-0.10376000000000006,0.28816409615969973
-0.18200000000000005,-0.1354400000000001,0.28816409615969973
-0.14400000000000007,-0.13728000000000007,0.28816409615969973
-0.12000000000000002,-0.13298000000000004,0.28816409615969973
-0.17200000000000004,-0.12172000000000005,0.28816409615969973
-0.14800000000000005,-0.11628000000000008,0.28816409615969973
-0.128,-0.12084000000000004,0.28816409615969973
-0.09800000000000002,-0.10912000000000005,0.28816409615969973
-0.18000000000000005,-0.1314000000000001,0.28816409615969973
-0.14600000000000007,-0.12844000000000005,0.28816409615969973
-0.138,-0.13298000000000007,0.28816409615969973
-0.15400000000000005,-0.11420000000000005,0.28816409615969973
-0.12200000000000005,-0.12404000000000008,0.28816409615969973
-0.10800000000000004,-0.11084000000000005,0.28816409615969973
-0.21400000000000008,-0.13304000000000005,0.28816409615969973
-0.14400000000000007,-0.1406400000000001,0.28816409615969973
-0.16800000000000004,-0.1338600000000001,0.28816409615969973
-0.15800000000000008,-0.12024000000000004,0.28816409615969973
-0.08800000000000002,-0.10260000000000005,0.28816409615969973
-0.18200000000000005,-0.13044000000000008,0.28816409615969973
-0.13600000000000004,-0.1314400000000001,0.28816409615969973
-0.13200000000000003,-0.12702000000000008,0.28816409615969973
-0.10800000000000004,-0.10892000000000006,0.28816409615969973
-0.17000000000000007,-0.13016000000000008,0.28816409615969973
-0.13600000000000004,-0.13180000000000008,0.28816409615969973
-0.14000000000000004,-0.13822000000000012,0.28816409615969973
-0.1680000000000001,-0.11716000000000007,0.28816409615969973
-0.13400000000000004,-0.1280400000000001,0.28816409615969973
-0.15400000000000008,-0.11858000000000005,0.28816409615969973
-0.18800000000000008,-0.14976000000000012,0.28816409615969973
-0.17200000000000007,-0.1481800000000001,0.28816409615969973
-0.11000000000000004,-0.15038000000000012,0.28816409615969973
-0.14200000000000007,-0.11470000000000007,0.28816409615969973
-0.14800000000000002,-0.09990000000000006,0.28816409615969973
-0.09800000000000003,-0.11594000000000004,0.28816409615969973
-0.15800000000000003,-0.09710000000000003,0.28816409615969973
-0.08600000000000001,-0.11306000000000005,0.28816409615969973
-0.10800000000000001,-0.10082000000000002,0.28816409615969973
-0.12600000000000006,-0.11274000000000002,0.28816409615969973
-0.12400000000000003,-0.11782000000000006,0.28816409615969973
-0.10800000000000004,-0.11780000000000004,0.28816409615969973
-0.15800000000000006,-0.11152000000000005,0.28816409615969973
-0.13200000000000003,-0.11908000000000007,0.28816409615969973
-0.12800000000000006,-0.11020000000000008,0.28816409615969973
-0.06800000000000002,-0.11980000000000009,0.28816409615969973
-0.15000000000000005,-0.09972000000000004,0.28816409615969973
-0.16800000000000007,-0.12660000000000007,0.28816409615969973
-0.11800000000000005,-0.12528000000000006,0.28816409615969973
-0.12200000000000003,-0.12186000000000004,0.28816409615969973
-0.14600000000000007,-0.11324000000000008,0.28816409615969973
-0.14200000000000004,-0.09792000000000006,0.28816409615969973
-0.11400000000000003,-0.11272000000000007,0.28816409615969973
-0.10800000000000003,-0.10468000000000005,0.28816409615969973
-0.15000000000000005,-0.11848000000000009,0.28816409615969973
-0.12800000000000003,-0.10748000000000006,0.28816409615969973
-0.16400000000000003,-0.12714000000000006,0.28816409615969973
-0.10000000000000003,-0.10968000000000004,0.28816409615969973
-0.11600000000000003,-0.12624000000000007,0.28816409615969973
-0.09400000000000003,-0.10408000000000005,0.28816409615969973
-0.12800000000000006,-0.12204000000000005,0.28816409615969973
-0.12600000000000003,-0.12704000000000004,0.28816409615969973
-0.14600000000000007,-0.1314600000000001,0.28816409615969973
-0.10000000000000003,-0.10696000000000006,0.28816409615969973
-0.12600000000000006,-0.09732,0.28816409615969973
-0.16400000000000003,-0.10956000000000005,0.28816409615969973
-0.12200000000000005,-0.10772000000000004,0.28816409615969973
-0.10600000000000004,-0.11506000000000005,0.28816409615969973
-0.12200000000000005,-0.10556000000000007,0.28816409615969973
-0.11200000000000003,-0.1244000000000001,0.28816409615969973
-0.06600000000000002,-0.11792000000000007,0.28816409615969973
-0.09800000000000003,-0.13154000000000007,0.28816409615969973
-0.17400000000000007,-0.11228000000000003,0.28816409615969973
-0.13600000000000007,-0.11368000000000004,0.28816409615969973
-0.17600000000000005,-0.11190000000000005,0.28816409615969973
-0.17400000000000004,-0.1289200000000001,0.28816409615969973
-0.14600000000000005,-0.1355800000000001,0.28816409615969973
-0.12000000000000005,-0.13358000000000012,0.28816409615969973
-0.11600000000000005,-0.11630000000000008,0.28816409615969973
-0.14200000000000004,-0.11798000000000004,0.28816409615969973
-0.15800000000000006,-0.11710000000000002,0.28816409615969973
-0.15000000000000002,-0.12134000000000006,0.28816409615969973
-0.15200000000000005,-0.10770000000000006,0.28816409615969973
-0.18200000000000008,-0.13170000000000007,0.28816409615969973
-0.16400000000000006,-0.1317400000000001,0.28816409615969973
-0.13200000000000003,-0.1272800000000001,0.28816409615969973
-0.12400000000000003,-0.11122000000000004,0.28816409615969973
-0.13200000000000006,-0.10966000000000004,0.28816409615969973
-0.13200000000000006,-0.11094000000000004,0.28816409615969973
-0.12600000000000006,-0.10934000000000008,0.28816409615969973
-0.15600000000000006,-0.11898000000000006,0.28816409615969973
-0.12600000000000003,-0.10902000000000006,0.28816409615969973
-0.10200000000000004,-0.12084000000000009,0.28816409615969973
-0.14200000000000004,-0.11642000000000007,0.28816409615969973
-0.14600000000000007,-0.1291400000000001,0.28816409615969973
-0.12400000000000005,-0.11294000000000004,0.28816409615969973
-0.20200000000000007,-0.12426000000000006,0.28816409615969973
-0.14400000000000002,-0.13558000000000006,0.28816409615969973
-0.16000000000000003,-0.12960000000000008,0.28816409615969973
-0.15000000000000005,-0.11922000000000006,0.28816409615969973
-0.08800000000000004,-0.10666,0.28816409615969973
-0.16200000000000006,-0.11722000000000005,0.28816409615969973
-0.12800000000000003,-0.12442000000000006,0.28816409615969973
-0.14800000000000005,-0.12136000000000007,0.28816409615969973
-0.16800000000000007,-0.10930000000000005,0.28816409615969973
-0.18600000000000005,-0.12638000000000008,0.28816409615969973
-0.18800000000000008,-0.12958000000000006,0.28816409615969973
-0.16800000000000007,-0.13080000000000008,0.28816409615969973
-0.13600000000000007,-0.11790000000000007,0.28816409615969973
-0.13000000000000006,-0.12370000000000007,0.28816409615969973
-0.13400000000000004,-0.11704000000000007,0.28816409615969973
-0.10800000000000004,-0.1397400000000001,0.28816409615969973
-0.10800000000000004,-0.1368000000000001,0.28816409615969973
-0.13800000000000004,-0.1377600000000001,0.28816409615969973
-0.12200000000000005,-0.10844000000000005,0.28816409615969973
-0.14600000000000007,-0.11468000000000007,0.28816409615969973
-0.15800000000000006,-0.11032000000000003,0.28816409615969973
-0.11600000000000005,-0.10752000000000006,0.28816409615969973
-0.14600000000000005,-0.12892000000000006,0.28816409615969973
-0.10800000000000004,-0.11184000000000006,0.28816409615969973
-0.13600000000000004,-0.12658000000000005,0.28816409615969973
-0.11600000000000005,-0.11376000000000007,0.28816409615969973
-0.09200000000000003,-0.11804000000000003,0.28816409615969973
-0.10600000000000005,-0.10120000000000005,0.28816409615969973
-0.17600000000000005,-0.12668000000000004,0.28816409615969973
-0.15000000000000005,-0.13120000000000007,0.28816409615969973
-0.13800000000000007,-0.11998000000000006,0.28816409615969973
-0.14400000000000007,-0.11832000000000002,0.28816409615969973
-0.11000000000000004,-0.10488000000000001,0.28816409615969973
-0.19200000000000006,-0.12784000000000006,0.28816409615969973
-0.16600000000000004,-0.12224000000000004,0.28816409615969973
-0.19000000000000006,-0.12034000000000007,0.28816409615969973
-0.14600000000000005,-0.09876000000000003,0.28816409615969973
-0.14800000000000005,-0.13088000000000008,0.28816409615969973
-0.08600000000000005,-0.12216000000000009,0.28816409615969973
-0.15000000000000005,-0.12406000000000007,0.28816409615969973
-0.13400000000000006,-0.11512000000000004,0.28816409615969973
-0.12000000000000005,-0.11900000000000008,0.28816409615969973
-0.12800000000000003,-0.10990000000000005,0.28816409615969973
-0.14600000000000007,-0.14456000000000013,0.28816409615969973
-0.15800000000000003,-0.14086000000000012,0.28816409615969973
-0.13200000000000003,-0.1314200000000001,0.28816409615969973
-0.15400000000000003,-0.11032000000000003,0.28816409615969973
-0.1780000000000001,-0.11692000000000005,0.28816409615969973
-0.11200000000000004,-0.10924000000000007,0.28816409615969973
-0.18200000000000005,-0.12140000000000009,0.28816409615969973
-0.14400000000000007,-0.1136,0.28816409615969973
-0.16400000000000003,-0.12794000000000008,0.28816409615969973
-0.14200000000000004,-0.11388000000000005,0.28816409615969973
-0.12400000000000005,-0.10576000000000003,0.28816409615969973
-0.15800000000000006,-0.12012000000000009,0.28816409615969973
-0.13600000000000007,-0.11436000000000006,0.28816409615969973
-0.12000000000000002,-0.12410000000000004,0.28816409615969973
-0.10400000000000004,-0.10612000000000003,0.28816409615969973
-0.17800000000000005,-0.12700000000000006,0.28816409615969973
-0.14400000000000004,-0.10308000000000007,0.28816409615969973
-0.16800000000000004,-0.12774000000000008,0.28816409615969973
-0.10800000000000004,-0.12448000000000004,0.28816409615969973
-0.09000000000000002,-0.11972000000000008,0.28816409615969973
-0.07400000000000004,-0.12210000000000008,0.28816409615969973
-0.16400000000000003,-0.12948000000000007,0.28816409615969973
-0.14400000000000004,-0.1488600000000001,0.28816409615969973
-0.11400000000000002,-0.1279000000000001,0.28816409615969973
-0.12400000000000005,-0.12164000000000008,0.28816409615969973
-0.09000000000000005,-0.10812000000000005,0.28816409615969973
-0.16400000000000003,-0.11816000000000007,0.28816409615969973
-0.11400000000000003,-0.1277600000000001,0.28816409615969973
-0.12200000000000005,-0.12338000000000009,0.28816409615969973
-0.11400000000000005,-0.11304000000000004,0.28816409615969973
-0.16400000000000003,-0.12672000000000005,0.28816409615969973
-0.14200000000000004,-0.1320000000000001,0.28816409615969973
-0.15800000000000008,-0.13310000000000005,0.28816409615969973
-0.08600000000000003,-0.12168000000000007,0.28816409615969973
-0.10400000000000004,-0.12380000000000008,0.28816409615969973
-0.10400000000000005,-0.12118000000000004,0.28816409615969973
-0.14600000000000005,-0.14068000000000006,0.28816409615969973
-0.17400000000000007,-0.1394600000000001,0.28816409615969973
-0.14800000000000008,-0.14258000000000012,0.28816409615969973
-0.12200000000000005,-0.10992000000000005,0.28816409615969973
-0.16000000000000003,-0.12436000000000005,0.28816409615969973
-0.12200000000000005,-0.12432000000000008,0.28816409615969973
-0.18200000000000005,-0.13514000000000007,0.28816409615969973
-0.12200000000000003,-0.11904000000000003,0.28816409615969973
-0.12400000000000005,-0.12312000000000009,0.28816409615969973
-0.12800000000000006,-0.11606000000000007,0.28816409615969973
-0.17000000000000004,-0.13924000000000006,0.28816409615969973
-0.15400000000000005,-0.13782000000000005,0.28816409615969973
-0.14400000000000004,-0.1344200000000001,0.28816409615969973
-0.14200000000000004,-0.12272000000000004,0.28816409615969973
-0.14000000000000007,-0.11576000000000006,0.28816409615969973
-0.10400000000000004,-0.11874000000000005,0.28816409615969973
-0.13000000000000006,-0.13632000000000008,0.28816409615969973
-0.17000000000000007,-0.14782000000000015,0.28816409615969973
-0.13200000000000003,-0.1360200000000001,0.28816409615969973
-0.12000000000000002,-0.13368000000000008,0.28816409615969973
-0.13600000000000007,-0.13674000000000006,0.28816409615969973
-0.09000000000000002,-0.13682000000000008,0.28816409615969973
